Ticker,Motivo
SQ,Dados insuficientes (<300 dias)
CFLT,Dados insuficientes (<300 dias)
JNPR,Dados insuficientes (<300 dias)
SAMSF,Dados insuficientes (<300 dias)
CORZ,"Split insuf: treino=139, teste=250"
MANT,Dados insuficientes (<300 dias)
DFS,Dados insuficientes (<300 dias)
ORCC,Dados insuficientes (<300 dias)
GHL,Dados insuficientes (<300 dias)
FRC,Dados insuficientes (<300 dias)
BLUE,Dados insuficientes (<300 dias)
SGEN,Dados insuficientes (<300 dias)
BGNE,Dados insuficientes (<300 dias)
KRTX,Dados insuficientes (<300 dias)
SWAV,Dados insuficientes (<300 dias)
NARI,Dados insuficientes (<300 dias)
AXNX,Dados insuficientes (<300 dias)
PXD,Dados insuficientes (<300 dias)
MRO,Dados insuficientes (<300 dias)
CPE,Dados insuficientes (<300 dias)
MMP,Dados insuficientes (<300 dias)
HES,Dados insuficientes (<300 dias)
ARCH,Dados insuficientes (<300 dias)
CONSOL,Dados insuficientes (<300 dias)
IDACORP,Dados insuficientes (<300 dias)
GEV,"Split insuf: treino=95, teste=250"
CPPE,Dados insuficientes (<300 dias)
HBI,Dados insuficientes (<300 dias)
FAT,Dados insuficientes (<300 dias)
GPS,Dados insuficientes (<300 dias)
VIK,"Split insuf: treino=71, teste=250"
L3H,Dados insuficientes (<300 dias)
X,Dados insuficientes (<300 dias)
SRCL,Dados insuficientes (<300 dias)
BERY,Dados insuficientes (<300 dias)
DISH,Dados insuficientes (<300 dias)
ATUS,Dados insuficientes (<300 dias)
PARA,Dados insuficientes (<300 dias)
SGMS,Dados insuficientes (<300 dias)
GCI,Dados insuficientes (<300 dias)
STOR,Dados insuficientes (<300 dias)
PEAK,Dados insuficientes (<300 dias)
MPW,Dados insuficientes (<300 dias)
LSI,Dados insuficientes (<300 dias)
BRFS3.SA,Dados insuficientes (<300 dias)
MRFG3.SA,Dados insuficientes (<300 dias)
JBSS3.SA,Dados insuficientes (<300 dias)
CCRO3.SA,Dados insuficientes (<300 dias)
NUBR33.SA,Dados insuficientes (<300 dias)
SLC3.SA,Dados insuficientes (<300 dias)
RRRP3.SA,Dados insuficientes (<300 dias)
TRPL4.SA,Dados insuficientes (<300 dias)
AESB3.SA,Dados insuficientes (<300 dias)
ENBR3.SA,Dados insuficientes (<300 dias)
ELET3.SA,Dados insuficientes (<300 dias)
ELET6.SA,Dados insuficientes (<300 dias)
CPLE6.SA,Dados insuficientes (<300 dias)
CESP6.SA,Dados insuficientes (<300 dias)
ARZZ3.SA,Dados insuficientes (<300 dias)
SOMA3.SA,Dados insuficientes (<300 dias)
GUAR3.SA,Dados insuficientes (<300 dias)
AZUL4.SA,Dados insuficientes (<300 dias)
GOLL4.SA,Dados insuficientes (<300 dias)
EMBR3.SA,Dados insuficientes (<300 dias)
BPAN4.SA,Dados insuficientes (<300 dias)
LOG3.SA,Dados insuficientes (<300 dias)
BRML3.SA,Dados insuficientes (<300 dias)
IGTA3.SA,Dados insuficientes (<300 dias)
SMLS3.SA,Dados insuficientes (<300 dias)
VERE3.SA,Dados insuficientes (<300 dias)
SHELL,Dados insuficientes (<300 dias)
ADS,Dados insuficientes (<300 dias)
BMW,Dados insuficientes (<300 dias)
ROG.SW,Dados insuficientes (<300 dias)
ABB.SW,Dados insuficientes (<300 dias)
STM.MI,Dados insuficientes (<300 dias)
LUX.MI,Dados insuficientes (<300 dias)
AKZO.AS,Dados insuficientes (<300 dias)
DAI.DE,Dados insuficientes (<300 dias)
RELI.NS,Dados insuficientes (<300 dias)
TATAMOTORS.NS,Dados insuficientes (<300 dias)
BAJAJ.NS,Dados insuficientes (<300 dias)
NVEI,Dados insuficientes (<300 dias)
GWO,Dados insuficientes (<300 dias)
IFC,Dados insuficientes (<300 dias)
DESP,Dados insuficientes (<300 dias)
PGSUS,Dados insuficientes (<300 dias)
THYAO,Dados insuficientes (<300 dias)
AKBNK,Dados insuficientes (<300 dias)
GARAN,Dados insuficientes (<300 dias)
ISCTR,Dados insuficientes (<300 dias)
